itime,date,time,id,srcip,dstip,dstport,service,proto,action,policyid,policyname,hostname,tranip,transip,sessionid,subtype,level,duration,sentbyte,rcvdbyte,logid,app,appcat,crscore,craction,crlevel,srccountry,dstcountry,srcintf,dstintf,threats,threattyps,devid,dtime,devname,utmaction,appid,apprisk,applist,apps,dstmac,masterdstmac,dsthwvendor,dstosname,sentdelta,rcvddelta,srcmac,mastersrcmac,srchwvendor,srcfamily,devtype,osname,user,srcname,srcswversion,srcinetsvc,srccity,srcreputation,wanin,wanout,lanin,lanout,unauthuser,srcregion,tdthreattype,tdthreatname,tdwfcate
2024-07-01 21:16:47,2024-07-01,21:16:47,7386733034835280505,192.168.1.100,172.16.0.3,53,DNS,17,accept,14,Trust to ITU,,,,228884631,forward,notice,183,62,107,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:16:47,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:16:07,2024-07-01,21:16:05,7386732863036588566,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228871995,forward,notice,183,60,106,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:16:05,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:16:07,2024-07-01,21:16:05,7386732863036588279,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228871996,forward,notice,183,75,91,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:16:05,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:15:25,2024-07-01,21:15:24,7386732682647962184,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228860154,forward,notice,181,65,129,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:15:24,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:15:00,2024-07-01,21:14:59,7386732575273780032,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228850987,forward,notice,184,73,176,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:59,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:14:40,2024-07-01,21:14:39,7386732489374433768,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228844735,forward,notice,184,70,114,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:39,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:14:14,2024-07-01,21:14:13,7386732377705284218,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228836678,forward,notice,184,77,237,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:13,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:14:13,2024-07-01,21:14:12,7386732373410316935,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228836621,forward,notice,185,79,136,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:12,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:14:10,2024-07-01,21:14:08,7386732360525414857,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228836362,forward,notice,180,64,104,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:08,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01 21:14:10,2024-07-01,21:14:08,7386732360525414775,192.168.1.100,172.16.0.4,53,DNS,17,accept,14,Trust to ITU,,,,228835385,forward,notice,184,68,164,0000000013,DNS,unscanned,,,,Reserved,Reserved,TrustZone,ITU-Server,,,F2K61FTK22900792,2024-07-01 21:14:08,KACST-DC-CLUSTER_F2K61F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
